date;cash_type;money;coffee_name
25/03/2024;card;38.7;Latte
25/03/2024;card;38.7;Latte
25/03/2024;card;33.8;Americano with Milk
25/03/2024;card;38.7;Cappuccino
26/03/2024;card;38.7;Cocoa
26/03/2024;card;38.7;Latte
26/03/2024;card;38.7;Latte
26/03/2024;card;28.9;Cortado
26/03/2024;card;28.9;Americano
26/03/2024;card;28.9;Cortado
26/03/2024;card;28.9;Cortado
26/03/2024;card;28.9;Americano
26/03/2024;card;38.7;Latte
26/03/2024;card;38.7;Latte
26/03/2024;card;38.7;Hot Chocolate
27/03/2024;card;28.9;Cortado
27/03/2024;card;33.8;Americano with Milk
27/03/2024;card;33.8;Americano with Milk
27/03/2024;card;38.7;Hot Chocolate
27/03/2024;card;38.7;Cappuccino
27/03/2024;card;28.9;Americano
27/03/2024;card;28.9;Cortado
27/03/2024;cash;40.0;Latte
28/03/2024;card;28.9;Cortado
28/03/2024;card;28.9;Cortado
28/03/2024;card;28.9;Americano
28/03/2024;card;38.7;Latte
29/03/2024;card;38.7;Latte
29/03/2024;card;38.7;Cappuccino
29/03/2024;card;38.7;Cappuccino
29/03/2024;cash;40.0;Cappuccino
30/03/2024;card;38.7;Latte
30/03/2024;cash;40.0;Cappuccino
30/03/2024;card;38.7;Latte
30/03/2024;card;38.7;Latte
30/03/2024;card;33.8;Americano with Milk
31/03/2024;card;38.7;Cappuccino
31/03/2024;cash;30.0;Americano
01/04/2024;card;28.9;Americano
01/04/2024;card;33.8;Americano with Milk
01/04/2024;card;33.8;Americano with Milk
01/04/2024;card;33.8;Americano with Milk
01/04/2024;cash;40.0;Cappuccino
01/04/2024;card;33.8;Americano with Milk
01/04/2024;card;38.7;Hot Chocolate
02/04/2024;card;38.7;Latte
02/04/2024;card;28.9;Americano
02/04/2024;card;28.9;Cortado
02/04/2024;cash;40.0;Cappuccino
03/04/2024;card;28.9;Cortado
03/04/2024;card;28.9;Americano
03/04/2024;card;38.7;Cappuccino
03/04/2024;cash;30.0;Cortado
04/04/2024;card;38.7;Latte
04/04/2024;card;38.7;Latte
04/04/2024;card;38.7;Cappuccino
04/04/2024;card;28.9;Cortado
04/04/2024;cash;40.0;Latte
05/04/2024;card;28.9;Americano
05/04/2024;card;28.9;Americano
05/04/2024;card;28.9;Cortado
05/04/2024;card;33.8;Americano with Milk
05/04/2024;card;38.7;Latte
05/04/2024;card;28.9;Cortado
05/04/2024;cash;40.0;Latte
05/04/2024;cash;40.0;Cappuccino
05/04/2024;cash;30.0;Americano
05/04/2024;cash;40.0;Cocoa
05/04/2024;card;24.0;Espresso
06/04/2024;card;33.8;Americano with Milk
06/04/2024;card;38.7;Cappuccino
06/04/2024;card;28.9;Americano
06/04/2024;card;38.7;Latte
07/04/2024;card;38.7;Latte
07/04/2024;card;38.7;Cappuccino
07/04/2024;card;38.7;Cappuccino
07/04/2024;card;28.9;Cortado
07/04/2024;card;24.0;Espresso
07/04/2024;card;38.7;Hot Chocolate
07/04/2024;card;33.8;Americano with Milk
08/04/2024;card;33.8;Americano with Milk
08/04/2024;card;38.7;Cappuccino
08/04/2024;card;28.9;Americano
08/04/2024;card;38.7;Cappuccino
08/04/2024;cash;25.0;Espresso
08/04/2024;cash;35.0;Americano with Milk
08/04/2024;card;38.7;Latte
08/04/2024;card;28.9;Americano
08/04/2024;card;33.8;Americano with Milk
08/04/2024;card;38.7;Cappuccino
09/04/2024;cash;40.0;Cappuccino
09/04/2024;cash;30.0;Americano
09/04/2024;card;38.7;Latte
09/04/2024;card;38.7;Hot Chocolate
09/04/2024;card;38.7;Hot Chocolate
10/04/2024;cash;25.0;Espresso
10/04/2024;cash;40.0;Hot Chocolate
10/04/2024;card;24.0;Espresso
10/04/2024;card;38.7;Cappuccino
10/04/2024;card;38.7;Latte
11/04/2024;card;28.9;Americano
11/04/2024;card;28.9;Americano
11/04/2024;card;38.7;Latte
11/04/2024;card;38.7;Cappuccino
11/04/2024;card;33.8;Americano with Milk
12/04/2024;card;38.7;Hot Chocolate
12/04/2024;card;28.9;Cortado
13/04/2024;card;38.7;Latte
13/04/2024;card;28.9;Americano
13/04/2024;cash;40.0;Hot Chocolate
13/04/2024;cash;40.0;Hot Chocolate
13/04/2024;card;38.7;Cappuccino
13/04/2024;card;38.7;Latte
13/04/2024;card;38.7;Cappuccino
13/04/2024;card;38.7;Cappuccino
14/04/2024;cash;40.0;Latte
14/04/2024;card;38.7;Cappuccino
14/04/2024;cash;30.0;Cortado
14/04/2024;cash;30.0;Cortado
14/04/2024;cash;35.0;Americano with Milk
14/04/2024;card;28.9;Cortado
14/04/2024;card;28.9;Americano
14/04/2024;card;28.9;Americano
14/04/2024;card;28.9;Americano
14/04/2024;card;38.7;Cappuccino
14/04/2024;card;28.9;Cortado
14/04/2024;card;38.7;Latte
14/04/2024;card;38.7;Cappuccino
15/04/2024;card;28.9;Americano
15/04/2024;card;28.9;Americano
15/04/2024;card;33.8;Americano with Milk
15/04/2024;card;33.8;Americano with Milk
15/04/2024;cash;25.0;Espresso
16/04/2024;cash;35.0;Americano with Milk
16/04/2024;card;33.8;Americano with Milk
16/04/2024;card;38.7;Cocoa
16/04/2024;card;28.9;Cortado
16/04/2024;card;28.9;Americano
16/04/2024;card;33.8;Americano with Milk
16/04/2024;card;38.7;Cappuccino
16/04/2024;card;38.7;Cocoa
17/04/2024;card;28.9;Americano
17/04/2024;card;24.0;Espresso
17/04/2024;cash;40.0;Cappuccino
17/04/2024;card;38.7;Cappuccino
17/04/2024;card;38.7;Cappuccino
17/04/2024;card;28.9;Cortado
18/04/2024;card;28.9;Americano
18/04/2024;card;28.9;Americano
18/04/2024;card;33.8;Americano with Milk
18/04/2024;card;28.9;Cortado
18/04/2024;card;38.7;Cappuccino
18/04/2024;card;38.7;Latte
18/04/2024;card;38.7;Latte
18/04/2024;card;38.7;Cappuccino
18/04/2024;card;38.7;Hot Chocolate
18/04/2024;card;38.7;Hot Chocolate
19/04/2024;card;38.7;Latte
19/04/2024;card;33.8;Americano with Milk
19/04/2024;card;38.7;Cappuccino
19/04/2024;card;38.7;Hot Chocolate
19/04/2024;card;38.7;Cappuccino
19/04/2024;card;38.7;Cocoa
19/04/2024;card;33.8;Americano with Milk
20/04/2024;cash;35.0;Americano with Milk
20/04/2024;card;33.8;Americano with Milk
20/04/2024;card;33.8;Americano with Milk
20/04/2024;card;28.9;Americano
20/04/2024;card;33.8;Americano with Milk
20/04/2024;card;38.7;Hot Chocolate
20/04/2024;card;38.7;Cappuccino
20/04/2024;card;33.8;Americano with Milk
20/04/2024;card;32.82;Americano with Milk
20/04/2024;card;32.82;Americano with Milk
20/04/2024;cash;39.0;Cocoa
20/04/2024;card;37.72;Cappuccino
20/04/2024;card;37.72;Cappuccino
20/04/2024;card;37.72;Latte
21/04/2024;card;37.72;Latte
21/04/2024;card;27.92;Americano
21/04/2024;cash;39.0;Cappuccino
22/04/2024;card;27.92;Americano
22/04/2024;card;32.82;Americano with Milk
22/04/2024;cash;39.0;Latte
22/04/2024;card;37.72;Latte
22/04/2024;cash;39.0;Cappuccino
23/04/2024;card;37.72;Cappuccino
23/04/2024;card;32.82;Americano with Milk
23/04/2024;card;37.72;Cappuccino
23/04/2024;card;32.82;Americano with Milk
23/04/2024;card;32.82;Americano with Milk
24/04/2024;card;37.72;Latte
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;32.82;Americano with Milk
24/04/2024;card;37.72;Cappuccino
25/04/2024;card;27.92;Americano
25/04/2024;card;37.72;Latte
25/04/2024;card;27.92;Americano
25/04/2024;card;27.92;Americano
26/04/2024;card;37.72;Latte
26/04/2024;card;37.72;Latte
26/04/2024;card;37.72;Cappuccino
26/04/2024;card;27.92;Americano
26/04/2024;card;27.92;Americano
26/04/2024;card;27.92;Cortado
26/04/2024;card;27.92;Americano
26/04/2024;card;37.72;Hot Chocolate
26/04/2024;card;37.72;Cocoa
27/04/2024;card;37.72;Cappuccino
28/04/2024;card;37.72;Latte
28/04/2024;card;37.72;Cappuccino
28/04/2024;card;27.92;Americano
28/04/2024;card;27.92;Americano
28/04/2024;card;37.72;Latte
29/04/2024;card;27.92;Cortado
29/04/2024;card;27.92;Americano
29/04/2024;card;27.92;Cortado
29/04/2024;card;27.92;Cortado
29/04/2024;card;32.82;Americano with Milk
29/04/2024;card;37.72;Cappuccino
29/04/2024;card;37.72;Cappuccino
